$	~[,SI^F][,DOL^R]
徻	~[MIAD]
徼	~[MIPP]
徽	~[MISP][MIEP^R]
徾	~[MIIP][MIEP^F]
徿	~[MIA^V][MILL]
忀	~[MIL^V][MILK]
忁	~[MIDW]
忂	~[MIMV]
心	~[HA]
忄	~[,HA^7][,HI]
必	~[HPX][HP]
忇	~[HDY][HDX^V]
忈	~[RHA^S]
忉	~[HDP]
忊	~[HTI]
忋	~[HFL^V]
忌	~[FLH]
忍	~[DAH]
忎	~[GHA]
忏	~[HGJ^V]
忐	~[FHA^V]
忑	~[FHA^R]
忒	~[AXH]
忓	~[HGJ^S]
忔	~[HVZ]
忕	~[HDN]
忖	~[HAA]
志	~[YHA]
忘	~[FHA]
忙	~[HFL]
忚	~[HAL]
忛	~[HRA^V]
応	~[IA^V][LHA^R]
忝	~[GNF][EDH][GNH][PDH][EDF^V][PDF^V]
忞	~[WHA^V]
忟	~[HWX]
忠	~[CHA]
忡	~[HCI][HCJ]
忢	~[WHA^R]
忣	~[HPU][HRN]
忤	~[HWJ]
忥	~[KHA^V]
忦	~[HBR]
忧	~[HAK^V]
忨	~[HRR]
忩	~[BUH]
忪	~[HBU]
快	~[HJN]
忬	~[HUI^V]
忭	~[HLP]
忮	~[HJU]
忯	~[HXX]
忰	~[HKJ]
忱	~[HKL][HNR]
忲	~[HDA]
忳	~[HEL]
忴	~[HAY]
念	~[AYH]
忶	~[HTA^V]
忷	~[HXU]
忸	~[HEE]
忹	~[HKE]
忺	~[HIN]
忻	~[HKI]
忼	~[HLR^V]
忽	~[NMH]
忾	~[HKL^S][HKZ^V]
忿	~[BDH]
怀	~[HBA^V]
怇	~[HFF^S]
怈	~[HSL]
怉	~[HNL][HNOL]
怊	~[HDO^V]
怋	~[HOX^V]
怌	~[HBE]
怍	~[HVF^V]
怎	~[VFH][VH]
怏	~[HCN]
怐	~[HNO^R]
怑	~[HBJ]
怒	~[GUH][GH]
怓	~[HGU]
怔	~[HEZ]
怕	~[HPD]
怖	~[HXN]
怗	~[HZO]
怘	~[JOH^V]
怙	~[HJO]
怚	~[HME^V]
怛	~[HDE]
怜	~[HAP^V][HAT^R]
思	~[QHA]
怞	~[HIQ]
怟	~[HXE^V][HXA^V]
怠	~[UOH]
怡	~[HUO]
怢	~[HSN^V]
怣	~[SNH]
怤	~[PAH^V]
急	~[NEH]
怦	~[HPJ^V]
性	~[HSE]
怨	~[CPH]
怩	~[HCF]
怪	~[HUY][HUI]
怫	~[HVJ]
怬	~[HFO]
怭	~[HHP^V]
怮	~[HWD]
怯	~[HYU]
怰	~[HLW^V]
怱	~[NQH^V]
怲	~[HEN^V][HENB]
怳	~[HOR]
怴	~[HAQF][HAQI]
怵	~[HAT^V]
怶	~[HPX^S]
怷	~[ATH]
怸	~[ATH^V]
怹	~[PAH]
怽	~[HQB^V][HYS^V]
怾	~[HOB^V]
恀	~[HCC^V]
恁	~[PKH]
恂	~[HND]
恃	~[HYA]
恄	~[HYO]
恅	~[HYPF]
恆	~[HDAE][HE^V][HEV][HEDE^V]
恇	~[HFK]
恈	~[HUS]
恉	~[HFD]
恊	~[HDDD]
恋	~[LFH^R]
恌	~[HRA][HRBB]
恍	~[HSER]
恎	~[HPE^V]
恏	~[GZH^V]
恐	~[IRAH][IH][IZH]
恑	~[HNP^V][HNLP]
恒	~[HEDE][HDAE^V]
恓	~[HCO]
恔	~[HLX]
恕	~[GOH]
恖	~[PA^R][POXH]
恗	~[HDRK][HXK]
恘	~[HPT]
恙	~[BKH]
恚	~[YYH]
恛	~[HOO^V]
恜	~[HAXI]
恝	~[FDH^V][HDH^V]
恞	~[HEN][HJQB]
恟	~[HNXU]
恠	~[HXIY^V]
恡	~[HXXU]
恢	~[HXF][HLF]
恣	~[BIH][RIH^V]
恤	~[HPF]
恥	~[RHA][RZE^V]
恦	~[HPNO]
恧	~[RHA^R][TNRH]
恨	~[HDK]
恩	~[ODH]
恪	~[HPO]
恫	~[HNEO]
恬	~[HGO]
恭	~[RBF][RBH^V]
恮	~[HBK^V]
息	~[PMH]
恰	~[HAO]
恱	~[HBUR]
恲	~[HBK]
恳	~[DKH^V]
恴	~[LDH^V]
恵	~[CHA^R][JQH^R]
恼	~[HSO^R][HWU^V][HLXU^V]
恾	~[HRF]
恿	~[TNQH][THA][WTNH]
悀	~[HTJ][HTNQ]
悁	~[HOU]
悂	~[HBY]
悃	~[HOT]
悄	~[HSU^V][HU]
悅	~[HBOR^V][HF][HR^V][HRV]
悆	~[BHH]
悇	~[HBH]
悈	~[HAQR]
悉	~[MHA][ETH]
悊	~[JKH^V]
悋	~[HWO^V]
悌	~[HBQP][HTP]
悍	~[HDG]
悎	~[HSO^V]
悏	~[HGN^V]
悐	~[QFH]
悑	~[HAJQ^V][HIJ^V]
悒	~[HOC][HOCL]
悓	~[HMR^R]
悔	~[HVOM][HM]
悕	~[HXXN^V]
悖	~[HJNZ]
悗	~[HEL^V][HDCR][HNCR]
悘	~[FVDH]
悙	~[HLW][HLHW][HLOW]
悚	~[HJCS][HVS]
悛	~[HHX][HUBP][HURP]
悜	~[HOK^R]
悝	~[HQE]
悞	~[HOKD]
悟	~[HWO]
悠	~[PIPH]
悡	~[HRH]
悢	~[HAN][HADK]
患	~[CCH]
悤	~[PA^V][POCH][POPH]
悥	~[IHA^V]
悦	~[HBOR^R]
悧	~[HHR]
您	~[PNSH][PHV]
悩	~[HSO^S][HSXU^V]
悪	~[OHA^V]
悮	~[HOED][HOGN]
悰	~[HNS^V][HNRS]
悱	~[HRSS]
悲	~[RSSH][QT]
悳	~[JHA][JMLH]
悴	~[HJJ]
悵	~[HEK]
悶	~[MHA^V][MH^V]
悷	~[HFAD]
悸	~[HHZ]
悹	~[NBH^V]
悺	~[HNB]
悻	~[HYBG][HYJ]
悼	~[HZDJ][HQJ]
悽	~[HJEG][HJG]
悾	~[HNBI][HNRI]
悿	~[HGNF][HGNH][HPDF][HPDH]
惀	~[HAM]
惁	~[TKH]
惂	~[HNG^V][HDG^R]
惃	~[HDB]
惄	~[FSUH]
情	~[HHU]
惆	~[HNYO^V][HNO^V]
惇	~[HLOZ][HLZ][HLHZ]
惈	~[HQT^V]
惉	~[WZOH]
惊	~[HLS^V][HLOS^V]
惋	~[HNCP]
惌	~[NCPH]
惍	~[HAE]
惎	~[KBH^R]
惏	~[HTT]
惐	~[HHE^R][HAQE^R]
惑	~[AQOH][HHA]
惒	~[HOH^R]
惓	~[HPL][HBNL][HBNP]
惔	~[HFF^R]
惕	~[HDNM][HEP]
惖	~[EHA][DENH][DVMH]
惗	~[HAYH^V]
惘	~[HNBF]
惙	~[HUUU]
惚	~[HNMH]
惛	~[HXD]
惜	~[HRD]
惝	~[HSNO]
惞	~[HKI^V]
惟	~[HVE^V][HV]
惠	~[JQUH][JH][CUH][JQH][CHA^V]
惡	~[OHA][EFEH]
惢	~[HHH]
惣	~[SNMH]
惤	~[HQLW]
惥	~[GBH^V]
惦	~[HLZO]
惧	~[HMB^V]
惩	~[MIEH^V]
惪	~[JHA^V][JMEH]
惮	~[HOJ^V][HBQJ^V][HOOJ^V]
惰	~[HXIU]
惱	~[HSPX][HSO][HSX][HWU][HLXU][HSPO][HSWU][HSXU]
惲	~[HNC]
想	~[TMH][TH]
惴	~[HETR][HDI][HER]
惵	~[HST]
惶	~[HPDK]
惷	~[FNDH]
惸	~[HNDZ]
惹	~[RXOH][RM][ROH^V]
惺	~[HDS]
惻	~[HMBR]
惼	~[HFM]
惽	~[HOXD]
惾	~[HXUP]
惿	~[HJN^V][HDEZ]
愀	~[HHF]
愁	~[HFH]
愂	~[JNZH]
愃	~[HNE][HNEE]
愄	~[HQK]
愅	~[HRC]
愆	~[MIWH]
愇	~[HWJ^R][HWOS^V]
愈	~[AURH][AHA]
愉	~[HAUR][HAI]
愊	~[HEOQ]
愋	~[HEX][HEGU]
愌	~[HNND][HNOB]
愍	~[OXPH]
愎	~[HVDP][HVX]
意	~[LDH]
愐	~[HTOH]
愑	~[HTD^V][HTND][HTQD]
愒	~[HDNL][HDL^V]
愓	~[HEP^V][HDEM][HDVM]
愔	~[HLD]
愕	~[HOOK][HOK^V]
愖	~[HKL^R][HKBL][HKLB][HKLR][HKRL]
愗	~[MPH]
愘	~[HNPO]
愙	~[NPOH]
愚	~[QNUH][QH]
愛	~[ENHP][HX][ENXU]
愜	~[HFG]
愝	~[HFDG]
愞	~[HRD^S][HTND^R]
感	~[AQPH][AH][KHA][AQVH]
愠	~[HDF^V][HOBF^V]
愡	~[HNQH]
愢	~[HQH]
愣	~[HFF]
愥	~[HRC^R]
愧	~[HVA][HPQU]
愨	~[YNEH][YNRH]
愩	~[HIMB]
愪	~[HOMB^V]
愫	~[HHS]
愬	~[BEUH]
愭	~[HYPD]
愮	~[HUU][HEWU][HUWU]
愯	~[HVU]
愰	~[HDSR]
愱	~[HLBD]
愲	~[HQU]
愳	~[MMH]
愴	~[HADO][HBP]
愵	~[HQBB][HQMM]
愶	~[HDDU]
愷	~[HED][HEFL]
愸	~[LDH^R]
愹	~[HNBO][HNW]
愺	~[HRDJ]
愻	~[ZESH][ZPSH]
愼	~[HJB^R][HFMB][HJMB^R]
愽	~[HIA][HAJA]
愾	~[HKM][HKZ][HKL^V]
愿	~[LPDH][YHA^V]
慀	~[HEWD]
慁	~[OEQH]
慂	~[WTH][WTQH][WTNH^V]
慃	~[HBUE]
慄	~[HCT]
慅	~[HUAC][HUBC]
慆	~[HEG^V]
慇	~[PDYH][FEYH][PDNH]
慈	~[BEWH][BAV][BHV][LWLH][RWWH]
慉	~[HLWQ]
慊	~[HQN][HBEF]
態	~[UUFH][UH][UHA][DAH^V]
慌	~[HRFS][HS]
慍	~[HOBF][HDF]
慎	~[HJMB][HJB]
慏	~[HNDL]
慐	~[IMBH]
慒	~[HRFD][HROD]
慓	~[HCRS]
慔	~[HRDD]
慕	~[RDDF][RDDH^V]
慖	~[HOH^V][HOAE]
慗	~[VSPH][JCSH^V]
慘	~[HUUM][HUM][HUDM]
慙	~[CKH^V]
慚	~[HCK]
慛	~[HEV^V]
慜	~[VHA][VOMH]
慝	~[FRXH][FROH]
慞	~[HLDJ]
慟	~[HGQD][HTD]
慠	~[HHNP][HYFP]
慡	~[HDXX][HJXB]
慢	~[HDFU][HMX]
慣	~[HOXB][HOA][HOMB]
慤	~[YNRH^V]
慥	~[HSOW]
慦	~[NPH][AJWH]
慧	~[FFEH][FH]
慨	~[HDUK][HDL][HPDK^V]
慩	~[HCW]
慪	~[HFOO]
慫	~[MIBH^R][BBH^V]
慬	~[HRC^V]
慭	~[LADH^V]
慮	~[ZQH][ZH][ZHA]
慯	~[HVE^R][HVDM]
慰	~[CRSH][CM][CAH]
慱	~[HXA][HQA^V][HCUA][HJQA]
慲	~[HMA][HRNB]
慳	~[HRUY]
慴	~[HEED]
慵	~[HLEQ]
慶	~[LYHP][LDN]
慷	~[HLEW]
慸	~[FNNH]
慹	~[JZH^V][YZH^V][YBGH^V]
慺	~[HMG]
慻	~[HBNM]
慼	~[AQPH^V]
慽	~[HAQS]
慾	~[BBOH][WIH]
慿	~[BMRH]
憀	~[HEM^V][HEEM^V]
憁	~[HPA][HPOH]
憂	~[TDNP][YX][HAK][TMNP]
憃	~[FNGH]
憄	~[MIJH^R]
憅	~[GQDH]
憆	~[HSNY]
憇	~[GOGH^R]
憈	~[HZFE]
憉	~[HYDM][HYOM]
憊	~[PRPH][PHA][PQH][PRLH]
憋	~[BHA][SNSH]
憌	~[ANBH][ANRH]
憍	~[HGI][HGO^V][HGNO][HPDO]
憎	~[HBQD][HBO]
憏	~[HJA^R][HJRS^V]
憐	~[HMCS][HAP][HAT][HMC]
憑	~[BMFH][PKR]
憒	~[HQA][HCEB]
憓	~[HCH^V][HCUH^V][HJQH^V]
憔	~[HVF]
憕	~[HJD]
憖	~[LADH]
憗	~[LPH]
憘	~[HYDO][HYOO]
憙	~[YDOH][YORH][YOBH^V]
憚	~[HOOJ][HOJ][HBQJ]
憛	~[HXJ][HCDJ]
憜	~[HBXU]
憝	~[LHZH][LOZH][LZPH]
憞	~[HLHP][HLOP][HLZP]
憟	~[HCM]
憠	~[LBEH]
憡	~[HZJ^V][HZJS]
憢	~[HYR][HYYR]
憣	~[HMQ]
憤	~[HJRB][HJA]
憥	~[FFNH]
憦	~[HFFD][HRND]
憧	~[HLQ]
憨	~[IRPH][TRPH]
憩	~[GOPH][GOGH]
憪	~[HMU]
憫	~[HMW]
憬	~[HDLS]
憭	~[HLA][HDBS]
憮	~[HVFF][HGL][HEK^V]
憯	~[HKKD]
憰	~[HMNO]
憱	~[HGL^R][HLSK][HLOK^V]
憲	~[NHFH][NH][NSR][NFFH]
憳	~[HEIA]
憴	~[HXL]
憵	~[PHA^R][COLH^V]
憶	~[HLDH][HZL][HZZ]
憷	~[HTTZ]
憸	~[HAE^V][HOA^V][HAOB]
憹	~[HFFK^V][HROK^V]
憺	~[HVO][HNLI]
憻	~[HLOE][HLOM]
憼	~[NHA][RNOH^V]
憽	~[HRNH]
憾	~[HAQH][HKH]
憿	~[HPDP]
懀	~[HAD][HAQD]
懁	~[HON][HFEK]
懂	~[HRGQ][HQ]
懃	~[RCDH]
懄	~[HRCD]
懅	~[HZN][HZEQ]
懆	~[HLT][HOOT]
懇	~[UQDH][DKH][EQDH]
懈	~[HNDS]
應	~[LPVH][IA][LSE][LHA^V]
懊	~[HPND][HD][HPOB]
懋	~[TMTH]
懌	~[HFY][HCN^R][HFYG]
懍	~[HLOH]
懎	~[HWOO^V]
懏	~[HVM][HVU^V]
懐	~[HJFK][HLFK^V]
懓	~[HENP][HHX^R]
懕	~[LDUH^R][YHA^S]
懖	~[AGOH]
懗	~[HYFF]
懘	~[WFNH^V]
懙	~[HEA]
懚	~[HEIH^V]
懛	~[HTE][HYOP]
懜	~[HRFC]
懝	~[HFVZ]
懞	~[HRNQ]
懟	~[FAH][UAH][AHA^V][FEBH]
懠	~[HWH]
懡	~[HLTU][HLTW]
懢	~[HRF^V][HRVF]
懣	~[WRNH][MHA^R]
懤	~[HYYA]
懥	~[HJNZ^V]
懦	~[HUTR][HUR]
懧	~[HNT][HNHT]
懨	~[HYN][HLAD][HLDD]
懩	~[HBHA][HBHK][HBKX]
懪	~[HDRW]
懫	~[HKKB]
懬	~[LKH][LREH][LRIH][LRQH]
懭	~[HLK][HLRB]
懮	~[HYX^V][HTDP][HTMP]
懯	~[AJNH][IFPH]
懰	~[HDDR][HOAR]
懱	~[HRFA][HRFB][HRFE][HRFV]
懲	~[MIKH][KH][MIEH]
懳	~[HFFH][HHHH]
懵	~[HRFM]
懶	~[HJCB][HBV][HVSB]
懷	~[HLFK][HK][HBA]
懸	~[MESH][MUH][MBEH][MBPH][MLSH][MSPH]
懹	~[HLN^V][HLOK^R]
懺	~[HBBE][HGJ]
懻	~[HFFB]
懼	~[HMMV][QV][HMEB]
懽	~[HRE][HROV]
懾	~[HRRR][HRUU]
懿	~[YNDH]
戀	~[SISH][LFH][ISSH]
戁	~[UVH][RCVH]
戂	~[HLTS]
戃	~[HSNF]
戄	~[HMMU]
戅	~[LDJH^V]
戇	~[LDJH]
戈	~[AQX]
戉	~[AQI^V]
戊	~[AQP]
戌	~[AQV][AQPE]
戍	~[AQB][AQPA]
戎	~[AQJ][AQX^V]
戏	~[UAQ^V]
成	~[AQN][AY][AQPY]
我	~[IX]
戒	~[AQR]
戓	~[AQO^S]
戔	~[KX^V][AQAQ]
戕	~[GAQ]
或	~[AQOE][HE]
战	~[ZOAQ^V]
戙	~[NEOQ^S]
戚	~[AQPS][AS]
戛	~[TMAQ]
戜	~[AQOK]
戞	~[TDNQ][TMNQ]
戟	~[JDJQ][JAQ^V]
戠	~[LDAQ]
戡	~[KRLQ][KAQ][KLBQ][KLRQ]
戢	~[ORAQ]
戣	~[KAQ^V][JEDQ][JGNQ]
戤	~[RUFQ][WPFQ]
戥	~[DSAQ]
戧	~[ADOQ]
戨	~[TOTQ]
戩	~[EFEQ][EUUQ][ODAQ]
截	~[JAQV][JVV]
戫	~[XHE][XUH][XAQE][XUAE]
戭	~[NAQ][NEQQ]
戮	~[EEBQ][EMAQ]
戯	~[ZFEQ^V]
戰	~[OOQQ][OQ][OAQ][BQJQ][ZOAQ]
戱	~[ZFEQ^R]
戲	~[ZDAQ][ZQ][UAQ][ZFEQ]
戳	~[EEVQ]
戴	~[JAQB][JB]
戵	~[MMVQ]
戶	~[FP]
户	~[FP^V]
戸	~[FP^R]
戹	~[FZL][FZZ]
戺	~[FOL]
戻	~[FDN^V]
戼	~[OI^V][RFF^S][YFF^R][YFLF]
戽	~[FDJ]
戾	~[FAD]
房	~[FFY]
所	~[FKI]
扁	~[FMJ]
扂	~[FZO]
扃	~[FNO^V]
扄	~[FPNO]
扅	~[FCC]
扆	~[FLK]
扇	~[FEE]
扈	~[FOC][FOCL]
扉	~[FRSS^R]
扊	~[FFF^V]
手	~[HJ]
扌	~[,JX^V]
才	~[UP]
扎	~[JLL]
扏	~[JKX][JKZ][JKL^S]
扐	~[JDX][JDY^V]
扑	~[JPA]
扒	~[JBN][JBA^V]
打	~[JTI]
扔	~[JRP]
扖	~[JBP^V]
扗	~[JYE^R]
托	~[JGL]
扙	~[JQX^V]
扚	~[JNA]
扛	~[JIE]
扜	~[JUJ]
扝	~[JRK^V]
扞	~[JGJ]
扟	~[JZJ]
扠	~[JUA^V]
扡	~[JAL^V]
扢	~[JVZ^V]
扣	~[JOO^V][JOV]
扤	~[JER^V]
扥	~[JQL]
扦	~[JGJ^V]
执	~[JZA][JKA^F][JZX^V]
扭	~[JEE]
扮	~[JBD]
扯	~[JZE]
扰	~[JAK^V]
扱	~[JRN][JPU^V]
扲	~[JAY]
扳	~[JLU]
扴	~[JBR]
扵	~[JBB]
扶	~[JQN]
扷	~[JGN^R][JPD^V]
扸	~[JPI][JPY]
批	~[JBL]
扺	~[JXX]
扻	~[JIN]
扼	~[JLP]
扽	~[JEL^V]
找	~[JAQ]
承	~[WSJ][WSBB]
技	~[JJU]
抁	~[JUR^V]
抂	~[JKE^R]
抃	~[JLP^R]
抄	~[JSP]
抅	~[JNU]
抆	~[JWX]
抇	~[JDO^V]
抈	~[JUE^V]
抉	~[JJN^V][JJV]
把	~[JCL]
抋	~[JHA^R]
抌	~[JKL^V]
抍	~[JXJ^V]
抎	~[JTA^V]
抏	~[JRR]
抐	~[JNB^V]
抑	~[JFP]
抒	~[JUI]
抓	~[JEI][JEN]
抔	~[JBA^R]
投	~[JRU]
抖	~[JDJ]
抗	~[JLR]
折	~[JKI]
抙	~[JHJ]
抛	~[JKD^R]
抜	~[JXU]
抝	~[JWY]
択	~[JCN^R]
抣	~[JNR^V][JNB^R]
报	~[JPU^R]
抦	~[JEN^V][JENB][JTNB]
抧	~[JOB]
抨	~[JPJ]
抩	~[JNY]
抪	~[JXN]
披	~[JPX]
抬	~[JUO]
抭	~[JNR]
抮	~[JBM]
抯	~[JME^V]
抰	~[JCN^V]
抱	~[JNOL][JNL]
抲	~[JTO]
抳	~[JCF]
抴	~[JSL]
抵	~[JXE]
抶	~[JSN]
抷	~[JBE^R]
抸	~[JBZ][JPZ][JPAZ]
抹	~[JYS][JQB^V]
抺	~[JQB^R][JYS^V]
抻	~[JII][JIQI]
押	~[JQI]
抽	~[JIQ]
抾	~[JYU]
抿	~[JOX]
拀	~[JOR^R]
拁	~[JDO^R]
拂	~[JVJ]
拃	~[JVF^V]
拄	~[JAK]
担	~[JDE^S]
拆	~[JKA]
拇	~[JOM]
拈	~[JZO]
拉	~[JLE]
拊	~[JPA^R]
拋	~[JKD]
拌	~[JBJ]
拍	~[JPD]
拎	~[JAT][JAP]
拏	~[GUH^V]
拐	~[JOD][JON]
拑	~[JGO^V]
拒	~[JFF]
拓	~[JLO]
拔	~[JAXX][JAX][JAXU]
拕	~[JNF^V]
拖	~[JVA]
拗	~[JWD]
拘	~[JNO]
拙	~[JEE^R][JEU]
拚	~[JUR]
招	~[JDO]
拜	~[HFJ]
拝	~[JFJ]
拞	~[JKE^V][JPO^V]
拟	~[JUA^S][JUB^V]
拠	~[JPR^V]
拡	~[JLU^R]
拤	~[JFP^R]
拪	~[JCO]
拫	~[JDK]
括	~[JGO]
拭	~[JAXI][JIV]
拮	~[JYO]
拯	~[JWE]
拰	~[JPK]
拱	~[JRB]
拲	~[RBH^R]
拳	~[BNH]
拴	~[JBK^V]
拵	~[JXIZ]
拶	~[JSC]
拷	~[JYPK][JRK]
拸	~[JCC]
拹	~[JDDD^V]
拺	~[JJN^F][JJNS]
拻	~[JLF][JXF]
拼	~[JBK]
拽	~[JIQX][JIX][JQX]
拾	~[JAO][,DJ]
拿	~[AOH]
挀	~[JLK^V]
持	~[JYA]
挂	~[JYY]
挃	~[JPE]
挄	~[JSER]
挅	~[JRT]
挆	~[JRT^R]
指	~[JFD]
挈	~[FDH][HDH]
按	~[JNG]
挊	~[JFF^R]
挋	~[JRE^V]
挌	~[JPO]
挍	~[JLX^V]
挎	~[JXK][JDRK]
挏	~[JNEO]
挐	~[GOH^V]
挑	~[JRBB][JRA]
挒	~[JDR^V]
挓	~[JNG^R]
挔	~[JLK^R]
挕	~[JRJ^V]
挖	~[JNRZ][JZV][JNBZ]
挗	~[JEN^R][JJQB]
挘	~[JSD]
挙	~[EHJ^V][SEBH]
挛	~[LFH^S]
挟	~[JGN^S]
挡	~[JSE^V][JSO^R]
挦	~[JEA^V]
挨	~[JUVD][JAN]
挩	~[JBOR]
挪	~[JEB]
挫	~[JBBY][JY]
挬	~[JJNZ]
挭	~[JTX^V][JTQX]
挮	~[JTP][JBQP]
振	~[JFK]
挰	~[JOK]
挱	~[JWS^V]
挲	~[JWS][WSH]
挳	~[JSI][JUY][JESI]
挴	~[JVOM]
挵	~[JKR]
挶	~[JCYO][JONO]
挷	~[JFB^R]
挸	~[JMR]
挹	~[JOC][JOCL]
挺	~[JKW^V][JW]
挻	~[JPZW]
挼	~[JEG^V]
挽	~[JNCR][JEL][JDCR]
挾	~[JGN]
挿	~[JGG^V][JGI^F][JGQ^V][JGQI]
捀	~[JPF]
捁	~[JSO^V]
捂	~[JWO]
捃	~[JEO]
捄	~[JNA^V][JAJW]
捅	~[JTJ][JTNQ]
捆	~[JOT]
捇	~[JYF]
捈	~[JBH]
捉	~[JOZ]
捊	~[JEZ^V]
捋	~[JEA][JUA^R]
捌	~[JONR][,DB][JODR]
捍	~[JDG]
捎	~[JSU]
捏	~[JDY][JGI][JGY]
捐	~[JOU]
捑	~[JDKD][JDVD][JMAD]
捒	~[JVS][JJCS]
捓	~[JXB][JYB]
捔	~[JNE^R]
捕	~[JAJQ][JIJ]
捖	~[JNRR]
捗	~[JZS]
捘	~[JHX][JUBP][JURP]
捙	~[JCJ]
捚	~[JQE]
捛	~[JOPO]
捜	~[JIU][JIQU]
捝	~[JBOR^V]
捠	~[JKEB][JPOB^V]
捤	~[JCM]
捥	~[JNCP]
捦	~[JAE^V]
捧	~[JFNQ]
捨	~[JBGO][JBO][JBYO]
捩	~[JFAD]
捪	~[JXD]
捫	~[JMI][JMY]
捬	~[JLPA]
捭	~[JPG][JPQG]
据	~[JCJO^V]
捯	~[JPR]
捰	~[JQT]
捱	~[JLYY]
捲	~[JBNP][JPL][JBNL]
捳	~[JKE][JKEE][JPOE]
捴	~[JBUH]
捵	~[JFB^V][JROB]
捶	~[JGJY][JGE]
捷	~[JJEZ][CZ][JJZ][JZEZ]
捸	~[JEW]
捹	~[JDJR]
捺	~[JDRS]
捻	~[JAYH]
捼	~[JHG]
捽	~[JJJ^R]
捾	~[JNB]
捿	~[JJG][JJEG]
掀	~[JKI^R][IZ]
掁	~[JEK^V]
掂	~[JLZO]
掃	~[JENN][JEJ][JEE^S]
掄	~[JAM]
掅	~[JHU]
掆	~[JNBE^V]
掇	~[JUUU]
授	~[JENU][KG]
掉	~[JZDJ][JQJ]
掊	~[JLO^V]
掋	~[JLXE]
掌	~[SNOH][SHV]
掍	~[JDB^S]
掎	~[JVO^V][JDTO]
掏	~[JNWU][JNI]
掐	~[JG^V][JGV][JDG^V][JNG^V]
掑	~[JKB]
排	~[JRSS][JS]
掓	~[JFSU]
掔	~[RUH]
掕	~[JYRP][JYX^V][JYBP]
掖	~[JLPU][JLX]
掗	~[JOE]
掘	~[JCEE][JCEU]
掙	~[JEE^V][JNE^V][JEEV]
掚	~[JTNB^V][JEB^R][JENB^V]
掛	~[JYYP][JPV][JYY^V]
掜	~[JGR]
掝	~[JHE][JAQE]
掞	~[JFF^V]
掟	~[JNZ^V][JNEZ]
掠	~[JLOS][JLS]
採	~[JET][ETN^V][JMN^V]
探	~[JNRT][JNN][JNBT]
掣	~[SNRH]
掤	~[JUU^V]
接	~[JLG]
掦	~[JDNM][JEP^V]
控	~[JNRI][JI][JNBI]
推	~[JVE]
掩	~[JDIL][JXL][JDQL]
措	~[JRD]
掫	~[JRU^R]
掬	~[JNM]
掭	~[JGNF][JGNH][JPDF][JPDH]
掮	~[JFU^V]
掯	~[JZU^V]
掰	~[HBDH]
掱	~[HHH^V]
掲	~[JDL^R][JDNF]
掶	~[JLEB][JLEN]
掹	~[JZF^V]
掺	~[JUM^V][JUDM^V][JUUM^V]
掽	~[JBE][JBO^V][JBEE^V]
掾	~[JCEQ]
掿	~[JRO^V][JRXO]
揀	~[JJQS][JS^V][JCS^V]
揁	~[JZMB^V]
揂	~[JBE^V]
揃	~[JBI][JBER]
揄	~[JAI^V][JAUR]
揅	~[LOKH]
揆	~[JJGN][JKN][JJED]
揇	~[JJNG]
揈	~[JNI^R]
揉	~[JMT]
揊	~[JEOQ]
揋	~[JQK]
揌	~[JQH^V]
揍	~[JFND][JFN][JFNN]
揎	~[JNE^S][JNEE]
描	~[JRQ]
提	~[JDEZ][JJN]
揑	~[JGI^S][JGY^R]
插	~[JGG]
揓	~[JFVA]
揔	~[JNQH]
揕	~[JKL^R][JKBL][JKLB][JKLR][JKRL]
揖	~[JOR^V]
揗	~[JKM][JXM]
揘	~[JPDK]
揙	~[JFM]
揚	~[JDEM][JEP][JDVM]
換	~[JNND][JD][JNC^V][JNFB]
揜	~[JAOR]
揝	~[JPBD][JPPD]
揞	~[JLD]
揟	~[JFBU][JYZU]
揠	~[JFDG]
握	~[JCP]
揢	~[JNPO]
揣	~[JETR][JDI][JER]
揤	~[JGI^V][JDUP]
揥	~[JLNN]
揦	~[JJCR][JVSR]
揧	~[JRH][JCSH][JNSH][VSRH]
揨	~[JLHT][JLNT][JLOT]
揩	~[JBPD]
揪	~[JHF]
揫	~[HFH^V]
揬	~[JNRD][JNBD^R]
揭	~[JDNL][JDL]
揮	~[JNC]
揯	~[JHDE]
揰	~[JGQ]
揱	~[SURH]
揲	~[JST]
揳	~[JFDD][JHDD]
援	~[JEGU][JEX]
揵	~[JEW^V]
揶	~[JRB^V]
揷	~[JGG^R][JGGI]
揸	~[JTM][JTDE]
揹	~[JFFU]
揻	~[JAQG]
揼	~[JLOW]
揾	~[JDF^V][JOBF^V]
搃	~[JBOH^V][JROH]
搄	~[JHEE]
搆	~[JJNY][JJE]
搇	~[JAYK]
搈	~[JNW][JNBO]
搉	~[JNV]
搊	~[JNEE^V]
搋	~[JLZR]
搌	~[JCRK]
損	~[JOMB][JM]
搎	~[JZES][JZPS]
搏	~[JAJA^V][JAV][JIA^V]
搐	~[JLWQ]
搑	~[JRR^V]
搒	~[JGY^V][JLNF]
搓	~[JBKI][JBHI]
搔	~[JUBC][JUC][JUAC]
搕	~[JCE^V][JYUF]
搖	~[JUWU][JUU][JEWU]
搗	~[JNE]
搘	~[JYPD]
搙	~[JFKA]
搚	~[JDDU]
搛	~[JQN^V][JBEF^V]
搜	~[JGIU][JGU]
搝	~[JPMD]
