$	~[,SI^F][,DOL^R]
ぇ	~[E,^V][EV,][XE,][LE,^V][LYE,][XYE,]
え	~[E,]
ぉ	~[O,^V][OV,][XO,][LO,^V]
お	~[O,]
か	~[KA,]
が	~[GA,]
き	~[KI,]
ぎ	~[GI,]
く	~[KU,]
ぐ	~[GU,]
け	~[KE,]
げ	~[GE,]
こ	~[KO,]
ご	~[GO,]
さ	~[SA,]
ざ	~[ZA,]
し	~[CI,][SI,][SHI,]
じ	~[JI,][ZI,]
す	~[SU,]
ず	~[ZU,]
せ	~[SE,]
ぜ	~[ZE,]
そ	~[SO,]
ぞ	~[ZO,]
た	~[TA,]
だ	~[DA,]
ち	~[TI,][CHI,]
ぢ	~[DI,][JI,^V][ZI,^V][ZIV,]
っ	~[KK,][SS,][TT,][TV,][TU,^V][TUV,][XTU,][TSU,^V][LTU,]
つ	~[TU,][TSU,]
づ	~[DU,][ZU,^V][ZUV,]
て	~[TE,]
で	~[DE,]
と	~[TO,]
ど	~[DO,]
な	~[NA,]
に	~[NI,]
ぬ	~[NU,]
ね	~[NE,]
の	~[NO,]
は	~[HA,][WA,^R]
ば	~[BA,]
ぱ	~[PA,]
ひ	~[HI,]
び	~[BI,]
ぴ	~[PI,]
ふ	~[FU,][HU,]
ぶ	~[BU,]
ぷ	~[PU,]
へ	~[E,^S][HE,]
べ	~[BE,]
ぺ	~[PE,]
ほ	~[HO,]
ぼ	~[BO,]
ぽ	~[PO,]
ま	~[MA,]
み	~[MI,]
む	~[MU,]
め	~[ME,]
も	~[MO,]
ゃ	~[YA,^V][XYA,][YAV,][LYA,]
や	~[YA,]
ゅ	~[YU,^V][XYU,][YUV,][LYU,]
ゆ	~[YU,]
ょ	~[YO,^V][XYO,][YOV,][LYO,]
よ	~[YO,]
ら	~[LA,][RA,]
り	~[LI,][RI,]
る	~[LU,][RU,]
れ	~[LE,][RE,]
ろ	~[LO,][RO,]
ゎ	~[WA,^V][WAV,][XWA,][LWA,]
わ	~[WA,]
ゐ	~[I,^R][WI,]
ゑ	~[E,^R][WE,]
を	~[O,^R][WO,]
ん	~[M,][N,][MN,][NG,][NN,]
ゔ	~[VU,]
ゝ	~[,.^6]
ゞ	~[,M^F][,SA^V]
ァ	~[A.^V][AV.][XA.][LA.^V]
ア	~[A.]
ィ	~[I.^V][IV.][XI.][LI.^V][LYI.][XYI.]
イ	~[I.]
ゥ	~[U.^V][UV.][XU.][WU.^V][WUV.][LU.^V]
ウ	~[U.][WU.]
ェ	~[E.^V][EV.][XE.][LE.^V][LYE.][XYE.]
エ	~[E.]
ォ	~[O.^V][OV.][XO.][LO.^V]
オ	~[O.]
カ	~[KA.]
ガ	~[GA.]
キ	~[KI.]
ギ	~[GI.]
ク	~[KU.]
グ	~[GU.]
ケ	~[KE.]
ゲ	~[GE.]
コ	~[KO.]
ゴ	~[GO.]
サ	~[SA.]
ザ	~[ZA.]
シ	~[CI.][SI.][SHI.]
ジ	~[JI.][ZI.]
ス	~[SU.]
ズ	~[ZU.]
セ	~[SE.]
ゼ	~[ZE.]
ソ	~[SO.]
ゾ	~[ZO.]
タ	~[TA.]
ダ	~[DA.]
チ	~[TI.][CHI.]
ヂ	~[DI.][JI.^V][ZI.^V][ZIV.]
ッ	~[KK.][SS.][TT.][TV.][TU.^V][TUV.][XTU.][TSU.^V][LTU.]
ツ	~[TU.][TSU.]
ヅ	~[DU.][ZU.^V][ZUV.]
テ	~[TE.]
デ	~[DE.]
ト	~[TO.]
ド	~[DO.]
ナ	~[NA.]
ニ	~[NI.]
ヌ	~[NU.]
ネ	~[NE.]
ノ	~[NO.]
ハ	~[HA.][WA.^R]
バ	~[BA.]
パ	~[PA.]
ヒ	~[HI.]
ビ	~[BI.]
ピ	~[PI.]
フ	~[FU.][HU.]
ブ	~[BU.]
プ	~[PU.]
ヘ	~[E.^S][HE.]
ベ	~[BE.]
ペ	~[PE.]
ホ	~[HO.]
ボ	~[BO.]
ポ	~[PO.]
マ	~[MA.]
ミ	~[MI.]
ム	~[MU.]
メ	~[ME.]
モ	~[MO.]
ャ	~[YA.^V][XYA.][YAV.][LYA.]
ヤ	~[YA.]
ュ	~[YU.^V][XYU.][YUV.][LYU.]
ユ	~[YU.]
ョ	~[YO.^V][XYO.][YOV.][LYO.]
ヨ	~[YO.]
ラ	~[LA.][RA.]
リ	~[LI.][RI.]
ル	~[LU.][RU.]
レ	~[LE.][RE.]
ロ	~[LO.][RO.]
ヮ	~[WA.^V][WAV.][XWA.][LWA.]
ワ	~[WA.]
ヰ	~[I.^R][WI.]
ヱ	~[E.^R][WE.]
ヲ	~[O.^R][WO.]
ン	~[M.][N.][MN.][NG.][NN.]
ヴ	~[VU.]
ヵ	~[GA.^V][GAV.][KAV.][XKA.][LKA.]
ヶ	~[GE.^V][GEV.][KEV.][XKE.][LKE.]
ー	~[,E^F]
ヾ	~[,M^S][,SA]
ㄅ	~[,B^S]
ㄆ	~[,P^V]
ㄇ	~[,M^V]
ㄈ	~[,F^R][,FL^V]
ㄉ	~[,D]
ㄊ	~[,T]
ㄋ	~[,N^V]
ㄌ	~[,L^R]
ㄍ	~[,G^V][,GA^V]
ㄎ	~[,K^R]
ㄏ	~[,H][,LP][,HP^R]
ㄐ	~[,J^V][,JI]
ㄑ	~[,Q][,CI][,CHI^V]
ㄒ	~[,X][,SHI^V]
ㄓ	~[,J^R][,ZH][,ZHI]
ㄔ	~[,CH][,CHI]
ㄕ	~[,SH][,SHI]
ㄖ	~[,R^R]
ㄗ	~[,P^6][,Z][,TZ][,PI^S]
ㄘ	~[,C^R][,TS]
ㄙ	~[,S^R]
ㄚ	~[,A^V]
ㄛ	~[,O^S]
ㄜ	~[,E^S]
ㄝ	~[,E^R][,EH]
ㄞ	~[,AI]
ㄟ	~[,EI]
ㄠ	~[,AO][,AU]
ㄡ	~[,OU]
ㄢ	~[,AN]
